entropy_type,entropy
correct train,0.24580659
correct train,0.6027112
correct train,0.52877545
correct train,0.22383255
correct train,0.28825974
correct train,0.31332466
correct train,0.2693496
correct train,0.310263
correct train,0.25867862
correct train,0.52807564
correct train,0.33880198
correct train,0.6744917
correct train,0.6858846
correct train,0.103851184
correct train,0.48913938
correct train,0.5624266
correct train,0.18518448
correct train,0.23286809
correct train,0.22241725
correct train,0.42654547
correct train,0.46059024
correct train,0.31533134
correct train,0.2954394
correct train,0.40158147
correct train,0.10652935
correct train,0.4521659
correct train,0.51847094
correct train,0.6765648
correct train,0.33938903
correct train,0.34656036
correct train,0.6152646
correct train,0.34882528
correct train,0.32077152
correct train,0.03368554
correct train,0.27640018
correct train,0.3633133
correct train,0.47736394
correct train,0.5177501
correct train,0.20280352
correct train,0.002490179
correct train,0.47419643
correct train,0.005996935
correct train,0.17333594
correct train,0.00064351154
correct train,9.381413e-15
correct train,0.36318657
correct train,0.3781345
correct train,0.38488308
correct train,0.24547957
correct train,0.3857287
correct train,4.1539104e-07
correct train,0.57898116
correct train,0.20473874
correct train,1.1434572e-13
correct train,0.46568096
correct train,0.3253988
correct train,0.15228583
correct train,0.22250691
correct train,0.0045981416
correct train,0.3335261
correct train,0.48835307
correct train,3.373225e-07
correct train,0.64193267
correct train,0.094104104
correct train,0.0016420073
correct train,0.24225335
correct train,0.00088943256
correct train,0.23357016
correct train,0.5087629
correct train,0.50124353
correct train,0.6915561
correct train,0.35197031
correct train,0.5036899
correct train,0.30413842
correct train,0.587434
correct train,0.62137806
correct train,0.4698152
correct train,0.092328474
correct train,0.22206312
correct train,0.6483225
correct train,0.009382997
correct train,0.194151
correct train,0.48124436
correct train,0.24065931
correct train,0.5687463
correct train,0.15209162
correct train,0.1267417
correct train,0.54404473
correct train,0.63622856
correct train,0.05198693
correct train,0.0035333592
correct train,0.5784774
correct train,0.00088943256
correct train,0.5808033
correct train,0.0040501826
correct train,0.18994647
correct train,0.2956991
correct train,0.24607149
correct train,0.28767627
correct train,0.38056812
correct train,0.47584164
correct train,0.09876822
correct train,0.62381154
correct train,0.03368554
correct train,0.5282462
correct train,0.51562375
correct train,0.47719312
correct train,0.4923148
correct train,0.32639676
correct train,0.4878086
correct train,0.3112104
correct train,0.582891
correct train,0.33731094
correct train,0.25654465
correct train,0.1893995
correct train,0.31572455
correct train,0.0024655904
correct train,0.37360868
correct train,0.31415817
correct train,0.36495778
correct train,3.0263345e-05
correct train,0.64334935
correct train,0.6760907
correct train,0.66271317
correct train,0.2618163
correct train,0.35183752
correct train,0.28880137
correct train,0.55085194
correct train,0.41323966
correct train,0.35416275
correct train,0.67629296
correct train,0.31174085
correct train,0.47002235
correct train,0.24344811
correct train,0.44832775
correct train,0.03368554
correct train,0.4325728
correct train,0.2662232
correct train,0.577479
correct train,0.14636369
correct train,0.27256426
correct train,0.3772724
correct train,0.054772217
correct train,0.38809305
correct train,0.565359
correct train,0.32038015
correct train,0.23226392
correct train,0.00042424892
correct train,0.0539143
correct train,0.04626987
correct train,0.5642011
correct train,0.2409264
correct train,0.37872097
correct train,0.33557013
correct train,0.39151263
correct train,0.34491366
correct train,0.45166796
correct train,0.00080221205
correct train,0.075755596
correct train,0.38663492
correct train,0.4522633
correct train,0.47446388
correct train,0.5230906
correct train,0.37054646
correct train,0.00046462627
correct train,0.236384
correct train,0.24858132
correct train,0.27113163
correct train,0.018101318
correct train,0.61162555
correct train,0.19015312
correct train,0.19497238
correct train,0.3857287
correct train,0.05342309
correct train,0.30533195
correct train,0.2507096
correct train,0.57734996
correct train,0.2917589
correct train,0.00017367913
correct train,0.61693454
correct train,0.5605142
correct train,0.58971095
correct train,0.21680862
correct train,0.0004440351
correct train,0.3177563
correct train,0.25636166
correct train,0.28731748
correct train,0.5234768
correct train,0.21970025
correct train,0.34304494
correct train,0.48644322
correct train,0.27385888
correct train,0.45649087
correct train,0.011729784
correct train,0.2663853
correct train,0.34141195
correct train,0.43148392
correct train,0.32967162
correct train,0.47406274
correct train,0.023801226
correct train,0.38941923
correct train,0.2629979
correct train,0.34355733
correct train,0.41835356
correct train,0.28709704
correct train,0.66175795
correct train,0.39415687
correct train,0.3463012
correct train,0.28614515
correct train,0.44604653
correct train,0.21366754
correct train,0.5114239
correct train,0.29253048
correct train,0.5715551
correct train,0.5019393
correct train,0.07580796
correct train,0.315065
correct train,0.47988158
correct train,0.060179267
correct train,0.07188137
correct train,0.00088943256
correct train,0.19931945
correct train,0.30563682
correct train,0.0013876323
correct train,0.06512046
correct train,0.16684778
correct train,0.18574706
correct train,0.16495863
correct train,0.4190191
correct train,0.023363257
correct train,0.3863992
correct train,0.0025677867
correct train,0.0094278045
correct train,0.0231621
correct train,0.00034311874
correct train,0.60609233
correct train,0.42894897
correct train,0.6747503
correct train,0.18419069
correct train,0.22776392
correct train,0.2107332
correct train,0.25004482
correct train,0.1639081
correct train,0.2908109
correct train,0.5416542
correct train,0.3982646
correct train,0.51812893
correct train,0.2714011
correct train,0.013844063
correct train,0.12819305
correct train,0.24177903
correct train,0.17275351
correct train,0.22127667
correct train,0.36753574
correct train,1.9972188e-09
correct train,0.42894846
correct train,0.487903
correct train,0.0885004
correct train,0.021045212
correct train,0.6747198
correct train,0.30620077
correct train,0.25110796
correct train,0.31260622
correct train,0.08516434
correct train,0.2599497
correct train,0.6708008
correct train,0.28274447
correct train,0.2632053
correct train,0.34224543
correct train,0.03368554
correct train,0.3649034
correct train,0.34962225
correct train,0.0022627357
correct train,0.078839175
correct train,0.19249788
correct train,0.0018503269
correct train,0.59980935
correct train,0.05434815
correct train,0.38284773
correct train,0.18685037
correct train,0.5752248
correct train,0.011144974
correct train,0.22089846
correct train,0.29198483
