model,attack,epsilon,distance_class_0,distance_class_1,wasserstein_class0,wasserstein_class1
spambase_generic_200,DF_Linf,0.1,1.3188821077346802,1.581563115119934,0.2797318907254297,0.28983527423286737
spambase_generic_200,BIM_Linf,0.01,1.526470422744751,1.5650461912155151,0.3119065958266302,0.30865066710347067
spambase_generic_200,BIM_Linf,0.05,1.3727827072143555,1.3709856271743774,0.30257619919867856,0.29478427948172103
spambase_generic_200,BIM_Linf,0.1,1.6190683841705322,1.5487974882125854,0.31655600278159607,0.28233670072508166
spambase_generic_300,FGSM,0.01,1.217871069908142,1.497984766960144,0.28287342081668904,0.3075664405443275
spambase_generic_300,FGSM,0.05,1.2383819818496704,1.770402431488037,0.27472961878541163,0.3209339045480874
spambase_generic_300,FGSM,0.1,1.3272303342819214,1.4707728624343872,0.28538270424280254,0.31072789325127
spambase_generic_300,DF_L2,0.01,1.3487882614135742,1.3626245260238647,0.3169338981738649,0.3167117706255467
spambase_generic_300,DF_L2,0.05,1.0926127433776855,1.320968508720398,0.30771322997281503,0.33569383140196113
spambase_generic_300,DF_L2,0.1,1.1623483896255493,1.928985595703125,0.2842017036384899,0.3573583574267102
spambase_generic_300,DF_Linf,0.01,1.3682527542114258,1.4433659315109253,0.2666420888407843,0.2908947684246871
spambase_generic_300,DF_Linf,0.05,1.2533836364746094,1.4407047033309937,0.2650804488407844,0.2940075825341057
spambase_generic_300,DF_Linf,0.1,1.2086166143417358,1.4209531545639038,0.2637078576226995,0.2827367795971777
spambase_generic_300,BIM_Linf,0.01,1.244006872177124,1.5857607126235962,0.2839591658536445,0.30847216037076775
spambase_generic_300,BIM_Linf,0.05,1.4442427158355713,1.5129040479660034,0.2995288548952121,0.3060153348586869
spambase_generic_300,BIM_Linf,0.1,1.4142701625823975,1.276394248008728,0.2954867339007774,0.29002245142133914
spambase_generic_400,FGSM,0.01,1.5979163646697998,1.4788110256195068,0.29537591037876926,0.3220920772664789
spambase_generic_400,FGSM,0.05,1.4539551734924316,1.4691962003707886,0.2875105746290418,0.31392194792203976
spambase_generic_400,FGSM,0.1,1.4042831659317017,1.6011784076690674,0.273491821144774,0.32139207312943674
spambase_generic_400,DF_L2,0.01,1.2911040782928467,1.2723959684371948,0.299638401547566,0.3111753036374976
spambase_generic_400,DF_L2,0.05,1.2053242921829224,1.1405435800552368,0.28562945394200806,0.28848228555960853
spambase_generic_400,DF_L2,0.1,1.2827636003494263,1.279825210571289,0.2802892502545833,0.34066611249943013
