epochs,attack,epsilon,distance_class0,distance_class1,hidden_size
50,BIM_linf,0.01,1.2408453226089478,1.2195955514907837,53
50,BIM_linf,0.01,1.373753547668457,1.2273287773132324,54
50,BIM_linf,0.01,1.1444742679595947,1.3926124572753906,55
50,BIM_linf,0.01,1.432404637336731,1.1247241497039795,56
50,BIM_linf,0.01,1.2095255851745603,1.382321000099182,57
50,BIM_linf,0.01,1.2096155881881714,1.3662792444229126,58
50,BIM_linf,0.01,1.1985337734222412,1.363178014755249,59
50,BIM_linf,0.01,1.306984305381775,1.2362622022628784,60
50,BIM_linf,0.01,1.3402183055877686,1.4292224645614624,61
50,BIM_linf,0.01,1.277743220329285,1.4420117139816284,62
50,BIM_linf,0.01,1.3191298246383667,1.216225266456604,63
50,BIM_linf,0.01,1.304948091506958,1.200466871261597,64
50,BIM_linf,0.01,1.2563197612762451,1.194791555404663,65
50,BIM_linf,0.01,1.3086585998535156,1.389622449874878,66
50,BIM_linf,0.01,1.226771116256714,1.297128438949585,67
50,BIM_linf,0.01,1.2974203824996948,1.3179165124893188,68
50,BIM_linf,0.01,1.2600206136703491,1.4840151071548462,69
50,BIM_linf,0.01,1.323963642120361,1.3284372091293335,70
50,BIM_linf,0.01,1.235456466674805,1.272929310798645,71
50,BIM_linf,0.01,1.346946120262146,1.2358134984970093,72
50,BIM_linf,0.01,1.3313231468200684,1.1839275360107422,73
50,BIM_linf,0.01,1.344509482383728,1.4417966604232788,74
50,BIM_linf,0.01,1.32871413230896,1.3263323307037354,75
50,BIM_linf,0.01,1.2179715633392334,1.342972993850708,76
50,BIM_linf,0.01,1.389337182044983,1.2117655277252195,77
50,BIM_linf,0.01,1.2331219911575315,1.3357937335968018,78
50,BIM_linf,0.01,1.324528455734253,1.4243870973587036,79
50,BIM_linf,0.01,1.1574454307556152,1.3351386785507202,80
50,BIM_linf,0.01,1.3507905006408691,1.2466832399368286,81
50,BIM_linf,0.01,1.4267805814743042,1.2349250316619873,82
50,BIM_linf,0.01,1.3799941539764404,1.2336108684539795,83
50,BIM_linf,0.01,1.298960566520691,1.274635910987854,84
50,BIM_linf,0.01,1.2954038381576538,1.2980941534042358,85
50,BIM_linf,0.01,1.2966229915618896,1.2416034936904907,86
50,BIM_linf,0.01,1.1616171598434448,1.3066877126693726,87
50,BIM_linf,0.01,1.2789326906204224,1.238949418067932,88
50,BIM_linf,0.01,1.4232367277145386,1.260278344154358,89
50,BIM_linf,0.01,1.2498414516448977,1.143273949623108,90
50,BIM_linf,0.01,1.2712093591690063,1.4202837944030762,91
50,BIM_linf,0.01,1.405214786529541,1.2950026988983154,92
50,BIM_linf,0.01,1.2226592302322388,1.2831110954284668,93
50,BIM_linf,0.01,1.3158923387527466,1.1927610635757446,94
50,BIM_linf,0.01,1.2539260387420654,1.2694101333618164,95
50,BIM_linf,0.01,1.2878849506378174,1.3711936473846436,96
50,BIM_linf,0.01,1.484397530555725,1.3554960489273071,97
50,BIM_linf,0.01,1.260162353515625,1.4284542798995972,98
50,BIM_linf,0.01,1.2851465940475464,1.1597944498062134,99
50,BIM_linf,0.01,1.1988121271133425,1.3002866506576538,100
50,BIM_linf,0.01,1.2697601318359375,1.182058811187744,101
50,BIM_linf,0.01,1.2495763301849363,1.2272069454193115,102
50,BIM_linf,0.01,1.2925872802734375,1.1854431629180908,103
50,BIM_linf,0.01,1.3727641105651855,1.3393516540527344,104
50,BIM_linf,0.01,1.349839687347412,1.18838632106781,105
50,BIM_linf,0.01,1.3028428554534912,1.364024639129639,106
50,BIM_linf,0.01,1.3604443073272705,1.4133813381195068,107
50,BIM_linf,0.01,1.2369780540466309,1.4508638381958008,108
50,BIM_linf,0.01,1.3359531164169312,1.317297339439392,109
50,BIM_linf,0.01,1.383044958114624,1.455167531967163,110
50,BIM_linf,0.01,1.328988790512085,1.478927493095398,111
50,BIM_linf,0.01,1.3060383796691897,1.4897611141204834,112
50,BIM_linf,0.01,1.2969107627868652,1.4003078937530518,113
50,BIM_linf,0.01,1.20549738407135,1.331018567085266,114
50,BIM_linf,0.01,1.2781511545181274,1.2516766786575315,115
50,BIM_linf,0.01,1.3275771141052246,1.382752537727356,116
50,BIM_linf,0.01,1.292646050453186,1.2780107259750366,117
50,BIM_linf,0.01,1.314103364944458,1.2069460153579712,118
50,BIM_linf,0.01,1.2795274257659912,1.300418734550476,119
50,BIM_linf,0.01,1.2217462062835691,1.2044068574905396,120
50,BIM_linf,0.01,1.329759120941162,1.3952815532684326,121
50,BIM_linf,0.01,1.4788873195648191,1.2839951515197754,122
50,BIM_linf,0.01,1.2219583988189695,1.315191626548767,123
50,BIM_linf,0.01,1.2886333465576172,1.2620071172714231,124
50,BIM_linf,0.01,1.4136561155319214,1.2688699960708618,125
50,BIM_linf,0.01,1.2702473402023315,1.2474462985992432,126
50,BIM_linf,0.01,1.4108465909957886,1.2485651969909668,127
50,BIM_linf,0.01,1.2412110567092896,1.290549635887146,128
50,BIM_linf,0.01,1.2516350746154783,1.3041313886642456,129
50,BIM_linf,0.01,1.3701326847076416,1.4077585935592651,130
50,BIM_linf,0.01,1.3593244552612305,1.1351553201675415,131
50,BIM_linf,0.01,1.3616548776626587,1.305631399154663,132
50,BIM_linf,0.01,1.2488694190979004,1.4149584770202637,133
50,BIM_linf,0.01,1.297171950340271,1.3586785793304443,134
50,BIM_linf,0.01,1.3366024494171145,1.2221660614013672,135
50,BIM_linf,0.01,1.299893140792847,1.281911015510559,136
50,BIM_linf,0.01,1.2995789051055908,1.3731119632720947,137
50,BIM_linf,0.01,1.3337196111679075,1.3556907176971436,138
50,BIM_linf,0.01,1.22438383102417,1.340596079826355,139
50,BIM_linf,0.01,1.2808887958526611,1.4262046813964844,140
50,BIM_linf,0.01,1.3053309917449951,1.2603129148483276,141
50,BIM_linf,0.01,1.2380640506744385,1.3127155303955078,142
50,BIM_linf,0.01,1.3777316808700562,1.239816427230835,143
50,BIM_linf,0.01,1.135002374649048,1.4049924612045288,144
50,BIM_linf,0.01,1.2601968050003052,1.421791672706604,145
50,BIM_linf,0.01,1.293216586112976,1.2651042938232422,146
50,BIM_linf,0.01,1.383285403251648,1.357499361038208,147
50,BIM_linf,0.01,1.3662489652633667,1.229115009307861,148
50,BIM_linf,0.01,1.1777777671813965,1.4887259006500244,149
50,BIM_linf,0.01,1.4257543087005615,1.3598922491073608,150
50,BIM_linf,0.01,1.3444207906723022,1.3446921110153198,151
50,BIM_linf,0.01,1.3034578561782837,1.3184456825256348,152
50,BIM_linf,0.01,1.2571847438812256,1.5052647590637207,153
50,BIM_linf,0.01,1.1756774187088013,1.3930248022079468,154
50,BIM_linf,0.01,1.3701233863830566,1.3700681924819946,155
50,BIM_linf,0.01,1.172886848449707,1.167663335800171,156
50,BIM_linf,0.01,1.2948355674743652,1.2928038835525513,157
50,BIM_linf,0.01,1.2418237924575806,1.2602355480194092,158
50,BIM_linf,0.01,1.415132761001587,1.3608758449554443,159
50,BIM_linf,0.01,1.379701852798462,1.3339738845825195,160
50,BIM_linf,0.01,1.2721903324127195,1.3970232009887695,161
50,BIM_linf,0.01,1.2424705028533936,1.2517178058624268,162
50,BIM_linf,0.01,1.2891796827316284,1.2438570261001587,163
50,BIM_linf,0.01,1.37672758102417,1.3129971027374268,164
50,BIM_linf,0.01,1.2371819019317627,1.3766262531280518,165
