intensity,features_shifted,is_correct,entropy
0.5,5,True,0.3703458
0.5,5,True,0.095218405
0.5,5,True,0.6115304
0.5,5,True,0.33587974
0.5,5,False,0.57015175
0.5,5,True,0.009138069
0.5,5,True,0.26535147
0.5,5,True,0.011639195
0.5,5,True,0.37381512
0.5,5,True,0.0006754558
0.5,5,True,0.24395946
0.5,5,True,0.15178949
0.5,5,True,0.27611396
0.5,5,True,0.53143233
0.5,5,True,6.940109e-05
0.5,5,True,0.5115019
0.5,5,True,0.4478523
0.5,5,True,0.58278966
0.5,5,True,0.58041346
0.5,5,True,0.4800978
0.5,5,True,0.66464686
0.5,5,True,0.28366077
0.5,5,True,0.5227467
0.5,5,True,0.28556338
0.5,5,False,0.66352093
0.5,5,True,0.21576291
0.5,5,True,0.35843068
0.5,5,True,0.2660897
0.5,5,True,0.41278425
0.5,5,True,0.2283621
0.5,5,True,0.005493734
0.5,5,True,0.115122765
0.5,5,False,0.6307919
0.5,5,True,0.27326265
0.5,5,True,0.001041104
0.5,5,True,0.24198742
0.5,5,True,0.16854164
0.5,5,True,0.03994257
0.5,5,True,0.19454356
0.5,5,True,0.0006362081
0.5,5,True,0.06295365
0.5,5,True,0.28411797
0.5,5,True,0.64530003
0.5,5,True,0.6931472
0.5,5,True,6.9537666e-05
0.5,5,True,0.30416036
0.5,5,True,0.22831897
0.5,5,False,0.62781274
0.5,5,True,0.031651672
0.5,5,True,0.6379106
0.5,5,True,3.782474e-05
0.5,5,True,0.6831982
0.5,5,False,0.57606417
0.5,5,True,0.69294906
0.5,5,True,0.27626428
0.5,5,True,0.6451378
0.5,5,True,0.03232006
0.5,5,True,0.001041104
0.5,5,True,0.6791006
0.5,5,True,0.6720582
0.5,5,True,0.60037154
0.5,5,True,0.0003950896
0.5,5,True,0.4107113
0.5,5,True,0.4119753
0.5,5,True,0.047053736
0.5,5,True,0.41917586
0.5,5,True,0.6253878
0.5,5,True,0.3173396
0.5,5,True,0.2541731
0.5,5,True,0.29521012
0.5,5,True,0.2550431
0.5,5,True,0.04641344
0.5,5,True,0.36315894
0.5,5,True,0.071776144
0.5,5,True,0.3240828
0.5,5,True,0.32422543
0.5,5,True,0.52432173
0.5,5,True,0.53185785
0.5,5,True,0.2472996
0.5,5,True,0.32396546
0.5,5,True,0.67395115
0.5,5,True,0.0132770045
0.5,5,True,0.434289
0.5,5,True,0.6818714
0.5,5,True,0.37518257
0.5,5,True,0.357904
